year,artists,name,popularity
2020,"['Anuel AA', 'Bad Bunny']",Hasta Que Dios Diga,86
2020,"['24kGoldn', 'Justin Bieber', 'J Balvin', 'iann dior']","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",86
2020,"['Lady Gaga', 'Ariana Grande']",Rain On Me (with Ariana Grande),86
1964,['Brenda Lee'],Rockin' Around The Christmas Tree,85
2015,['Tame Impala'],The Less I Know The Better,85
2015,['Melanie Martinez'],Play Date,85
2017,['XXXTENTACION'],Everybody Dies In Their Nightmares,85
2017,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']",Clean White Noise - Loopable with no fade,85
2017,['Ed Sheeran'],Shape of You,85
2018,['Joji'],SLOW DANCING IN THE DARK,85
2018,"['Post Malone', 'Swae Lee']",Sunflower - Spider-Man: Into the Spider-Verse,85
2018,['XXXTENTACION'],Moonlight,85
2018,['XXXTENTACION'],changes,85
2018,"['Kina', 'Snøw']",Get You The Moon (feat. Snøw),85
2018,"['Marshmello', 'Bastille']",Happier,85
2018,"['Lady Gaga', 'Bradley Cooper']",Shallow,85
2019,['Surfaces'],Sunday Best,85
2019,"['Dan + Shay', 'Justin Bieber']","10,000 Hours (with Justin Bieber)",85
2019,['Ariana Grande'],"thank u, next",85
2019,['Ali Gatie'],It's You,85
2019,"['Shawn Mendes', 'Camila Cabello']",Señorita,85
2020,"['Big Sean', 'Post Malone']",Wolves (feat. Post Malone),85
2020,['Ariana Grande'],just like magic,85
2020,"['Ariana Grande', 'The Weeknd']",off the table (with The Weeknd),85
2020,['Pop Smoke'],Got It On Me,85
2020,"['Travis Scott', 'Young Thug', 'M.I.A.']",FRANCHISE (feat. Young Thug & M.I.A.),85
2020,['Noah Cyrus'],July,85
2020,"['Future', 'Drake']",Life Is Good (feat. Drake),85
2020,['Lil Nas X'],HOLIDAY,85
2020,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",THE SCOTTS,85
2020,['Billie Eilish'],my future,85
2020,['BLACKPINK'],Lovesick Girls,85
2020,"['Bad Bunny', 'Jowell & Randy', 'Ñengo Flow']",Safaera,85
2020,['Bad Bunny'],Yo Perreo Sola,85
1979,['AC/DC'],Highway to Hell,84
1980,['AC/DC'],Back In Black,84
1983,['The Police'],Every Breath You Take,84
1985,['a-ha'],Take on Me,84
2000,['Coldplay'],Yellow,84
2000,['Linkin Park'],In the End,84
2002,"['Eminem', 'Nate Dogg']",Till I Collapse,84
2002,['Coldplay'],The Scientist,84
2011,['Foster The People'],Pumped Up Kicks,84
2013,['Arctic Monkeys'],Do I Wanna Know?,84
2013,['Avicii'],Wake Me Up,84
2014,['J. Cole'],No Role Modelz,84
2014,['Ed Sheeran'],Thinking out Loud,84
2014,['Ed Sheeran'],Photograph,84
2015,['Twenty One Pilots'],Stressed Out,84
2016,"['The Chainsmokers', 'Halsey']",Closer,84
2017,"['XXXTENTACION', 'Trippie Redd']",Fuck Love (feat. Trippie Redd),84
2017,['Lil Uzi Vert'],XO Tour Llif3,84
2017,['Imagine Dragons'],Thunder,84
2018,"['Lil Peep', 'XXXTENTACION']",Falling Down - Bonus Track,84
2018,['Post Malone'],Better Now,84
2018,['Lauv'],I Like Me Better,84
2018,['Panic! At The Disco'],High Hopes,84
2018,['Alec Benjamin'],Let Me Down Slowly,84
2019,"['Juice WRLD', 'YoungBoy Never Broke Again']",Bandit (with YoungBoy Never Broke Again),84
2019,"['Mustard', 'Roddy Ricch']",Ballin' (with Roddy Ricch),84
2019,['DaBaby'],BOP,84
2019,"['Chris Brown', 'Drake']",No Guidance (feat. Drake),84
2019,['Post Malone'],Wow.,84
2019,"['JACKBOYS', 'Travis Scott', 'Young Thug']",OUT WEST (feat. Young Thug),84
2019,['Lewis Capaldi'],Bruises,84
2019,['Sam Fischer'],This City,84
2019,"['J Balvin', 'Bad Bunny']",LA CANCIÓN,84
2019,"['BENEE', 'Gus Dapperton']",Supalonely,84
2019,"['BTS', 'Halsey']",Boy With Luv (feat. Halsey),84
2020,"['DDG', 'Blueface']",Moonwalking in Calabasas (feat. Blueface) - Remix,84
2020,['Polo G'],21,84
2020,"['Juice WRLD', 'Marshmello', 'The Kid LAROI', 'Polo G']",Hate The Other Side (with Marshmello & The Kid Laroi),84
2020,['Juice WRLD'],Righteous,84
2020,['Lil Mosey'],Blueberry Faygo,84
2020,['Jack Harlow'],WHATS POPPIN,84
2020,"['Ariana Grande', 'Ty Dolla $ign']",safety net (feat. Ty Dolla $ign),84
2020,"['Juice WRLD', 'The Weeknd']",Smile (with The Weeknd),84
2020,"['Drake', 'Giveon']",Chicago Freestyle (feat. Giveon),84
2020,['StaySolidRocky'],Party Girl,84
2020,['Conan Gray'],Maniac,84
2020,['Lil Mosey'],Blueberry Faygo,84
2020,['Miley Cyrus'],Heart Of Glass (Live from the iHeart Festival),84
2020,['BTS'],Blue & Grey,84
2020,['BTS'],Fly To My Room,84
2020,['CJ'],Whoopty,84
2020,['BTS'],Telepathy,84
2020,"['MAX', 'SUGA']",Blueberry Eyes (feat. SUGA of BTS),84
1963,['Andy Williams'],It's the Most Wonderful Time of the Year,83
1976,['Eagles'],Hotel California - 2013 Remaster,83
1982,['TOTO'],Africa,83
1982,['Michael Jackson'],Billie Jean,83
1986,['Bon Jovi'],Livin' On A Prayer,83
1990,['AC/DC'],Thunderstruck,83
1992,['Bobby Helms'],Jingle Bell Rock,83
2002,['Eminem'],Without Me,83
2005,"['Shakira', 'Wyclef Jean']",Hips Don't Lie (feat. Wyclef Jean),83
2006,['Wham!'],Last Christmas - Remastered,83
2008,['Jason Mraz'],I'm Yours,83
2010,['Train'],"Hey, Soul Sister",83
2012,['Michael Bublé'],It's Beginning to Look a Lot like Christmas,83
2012,['Bruno Mars'],When I Was Your Man,83
2012,['Macklemore & Ryan Lewis'],Can't Hold Us - feat. Ray Dalton,83
2013,['Kodaline'],All I Want,83
2013,['One Direction'],Story of My Life,83
2015,['WILLOW'],Wait a Minute!,83
2015,['The Weeknd'],The Hills,83
2016,['Post Malone'],I Fall Apart,83
2016,"['The Weeknd', 'Daft Punk']",Starboy,83
2017,['Lil Uzi Vert'],20 Min,83
2017,['NF'],Let You Down,83
2017,['Chord Overstreet'],Hold On,83
2017,"['Marshmello', 'Khalid']",Silence,83
2017,['Harry Styles'],Sign of the Times,83
2017,"['The Chainsmokers', 'Coldplay']",Something Just Like This,83
2018,"['Metro Boomin', 'Gunna']",Space Cadet (feat. Gunna),83
