year,artists,name,popularity
2014,['ScHoolboy Q'],Man Of The Year,71
2014,['Porter Robinson'],Goodbye To A World,71
2014,['Home'],Resonance,71
2014,"['DJ Snake', 'AlunaGeorge']",You Know You Like It,71
2014,['One Direction'],Fool's Gold,71
2014,['Austin Mahone'],All I Ever Need,71
2015,['Kodak Black'],No Flockin',71
2015,"['Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",Right Hand Man,71
2015,['The Weeknd'],Earned It (Fifty Shades Of Grey),71
2015,"['Lin-Manuel Miranda', 'Anthony Ramos', 'Okieriete Onaodowan', 'Daveed Diggs', 'Original Broadway Cast of Hamilton']",The Story of Tonight,71
2015,"['Leslie Odom Jr.', 'Lin-Manuel Miranda']",Dear Theodosia,71
2015,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Daveed Diggs', 'Okieriete Onaodowan', 'Original Broadway Cast of Hamilton']",The Room Where It Happens,71
2015,"['Thayne Jasperson', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",Farmer Refuted,71
2015,['Original Broadway Cast of Hamilton'],Yorktown (The World Turned Upside Down),71
2015,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",A Winter's Ball,71
2015,"['Meek Mill', 'Drake']",R.I.C.O. (feat. Drake),71
2015,['Drake'],Jungle,71
2015,['Daniel Caesar'],Streetcar,71
2015,"['$uicideBoy$', 'Pouya']",$outh $ide $uicide,71
2015,['$uicideBoy$'],My Flaws Burn Through My Skin Like Demonic Flames from Hell,71
2015,['Drake'],Energy,71
2015,['Halsey'],Control,71
2016,['Jon Pardi'],Head Over Boots,71
2016,"['Chance the Rapper', 'Lil Wayne', '2 Chainz']",No Problem (feat. Lil Wayne & 2 Chainz),71
2016,"['Eric Bellinger', 'Aroc!']",G.O.A.T.,71
2016,['Lil Uzi Vert'],You Was Right,71
2016,['Marc E. Bassy'],Morning,71
2016,['Brent Faiyaz'],Poison,71
2016,['Sia'],Cheap Thrills,71
2016,['Tory Lanez'],Say It,71
2016,['Adele'],All I Ask,71
2016,"['Ella Mai', 'Ty Dolla $ign']",She Don't (feat. Ty Dolla $Ign),71
2016,['Panic! At The Disco'],Victorious,71
2016,['Post Malone'],No Option,71
2016,['Panic! At The Disco'],Emperor's New Clothes,71
2016,['Adele'],Send My Love (To Your New Lover),71
2016,['NF'],How Could You Leave Us,71
2016,['Swell'],I'm Sorry,71
2016,"['Ariana Grande', 'Lil Wayne']",Let Me Love You,71
2016,['Drake'],Controlla,71
2016,"['Nick Jonas', 'Tove Lo']",Close,71
2017,['Dustin Lynch'],Small Town Boy,71
2017,['Theory of a Deadman'],Rx (Medicate),71
2017,['Thomas Rhett'],Marry Me,71
2017,['Chris Stapleton'],Broken Halos,71
2017,['Maren Morris'],I Could Use a Love Song,71
2017,['Kodak Black'],Transportin',71
2017,['Jhené Aiko'],While We're Young,71
2017,['Tay-K'],The Race,71
2017,['Gunna'],Drip or Drown,71
2017,['BROCKHAMPTON'],FACE,71
2018,['AJR'],Burn The House Down,71
2018,['Morgan Wallen'],Talkin' Tennessee,71
2018,['LANCO'],Greatest Love Story,71
2018,['Luke Combs'],Dive - Recorded At Sound Stage Nashville,71
2018,['Cory Asbury'],Reckless Love,71
2018,"['Lil Baby', 'Gunna', 'Lil Uzi Vert']",Life Goes On,71
2018,"['YG', '2 Chainz', 'Big Sean', 'Nicki Minaj']","BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",71
2018,"['Shoreline Mafia', 'Rob Vicious', 'OHGEESY', 'Fenix Flexin', 'Master Kato']","Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",71
2019,"['Bryce Vine', 'YG']",La La Land (feat. YG),71
2020,"['Future', 'Lil Uzi Vert']",Bought A Bad Bitch,71
2020,['Future'],Rockstar Chainz,71
2020,"['Future', 'Lil Uzi Vert']",She Never Been To Pluto,71
1944,['Judy Garland'],Have Yourself A Merry Little Christmas,70
1947,['Gene Autry'],Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,70
1958,['Frank Sinatra'],Come Fly With Me - Remastered,70
1959,['Dean Martin'],Rudolph The Red-Nosed Reindeer,70
1960,['Etta James'],A Sunday Kind Of Love,70
1963,['Darlene Love'],Christmas (Baby Please Come Home),70
1963,['Bob Dylan'],Blowin' in the Wind,70
1964,['The Animals'],House Of The Rising Sun,70
1964,['Chuck Berry'],You Never Can Tell,70
1965,['Vince Guaraldi Trio'],O Tannenbaum,70
1966,['Dean Martin'],Silver Bells,70
1966,['The Rolling Stones'],"Paint It, Black - Mono",70
1966,['James Brown & The Famous Flames'],I Got You (I Feel Good),70
1967,['The Beach Boys'],Good Vibrations - Remastered,70
1968,['Steppenwolf'],Magic Carpet Ride,70
1968,['Etta James'],I'd Rather Go Blind,70
1968,['The Beatles'],While My Guitar Gently Weeps - Remastered 2009,70
1969,['Led Zeppelin'],Ramble On - 1990 Remaster,70
1969,['Joe Cocker'],With A Little Help From My Friends,70
1970,['Allman Brothers Band'],Midnight Rider,70
1970,['The Kinks'],Lola - Coca Cola Version,70
1970,['Creedence Clearwater Revival'],Up Around The Bend,70
1970,['Free'],All Right Now,70
1970,['Curtis Mayfield'],Move on Up,70
1971,['John Denver'],"Take Me Home, Country Roads",70
1971,['The Rolling Stones'],Brown Sugar - 2009 Mix,70
1971,['The Who'],Behind Blue Eyes,70
1971,['Don McLean'],Vincent,70
1971,['Marvin Gaye'],What's Going On,70
1972,['Steely Dan'],Do It Again,70
1972,"['America', 'George Martin']",Ventura Highway,70
1972,['Stealers Wheel'],Stuck In The Middle With You,70
1972,['Lou Reed'],Perfect Day,70
1973,['King Harvest'],Dancing in the Moonlight,70
1973,['Lynyrd Skynyrd'],Simple Man,70
1973,['Pink Floyd'],Time,70
1973,['Lynyrd Skynyrd'],Free Bird,70
1974,['Bachman-Turner Overdrive'],You Ain't Seen Nothing Yet,70
1974,['Barry Manilow'],Mandy,70
1975,['Eagles'],One of These Nights - 2013 Remaster,70
1975,['Led Zeppelin'],Kashmir - 1990 Remaster,70
1975,['Paul Simon'],50 Ways to Leave Your Lover,70
1975,['10cc'],I'm Not In Love,70
1976,['The Bellamy Brothers'],Let Your Love Flow,70
1976,['Billy Ocean'],Love Really Hurts Without You,70
1976,['Boney M.'],Daddy Cool,70
1977,['ABBA'],Take A Chance On Me,70
1978,['The Cars'],Just What I Needed,70
1978,['The Doobie Brothers'],What a Fool Believes,70
1978,['Kate Bush'],Wuthering Heights,70
1979,['Christopher Cross'],Sailing,70
1979,['Sister Sledge'],We Are Family,70
1979,['Supertramp'],Breakfast In America - Remastered,70
1980,['Pat Benatar'],Hit Me With Your Best Shot,70
1980,['Judas Priest'],Breaking the Law,70
1980,['Bob Marley & The Wailers'],Redemption Song,70
1980,"['Grover Washington, Jr.']",Just the Two of Us,70
1980,['John Lennon'],Woman - Remastered 2010,70
1981,['Bruce Springsteen'],"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",70
1981,['Journey'],Open Arms,70
1981,['Foreigner'],Waiting for a Girl like You,70
1982,['John Mellencamp'],Hurts So Good,70
1982,['Billy Idol'],White Wedding - Pt. 1,70
1982,['Chicago'],Hard to Say I'm Sorry / Get Away - 2006 Remaster,70
1982,['The Alan Parsons Project'],Eye In The Sky,70
1982,['José Luis Perales'],¿Y cómo es él?,70
1983,['Quiet Riot'],Cum on Feel the Noize,70
1983,['Yes'],Owner of a Lonely Heart,70
1983,['ZZ Top'],Gimme All Your Lovin',70
1984,['Van Halen'],Hot for Teacher - 2015 Remaster,70
1984,['Scorpions'],Rock You Like A Hurricane,70
1984,['The Smiths'],How Soon Is Now? - 2011 Remaster,70
1984,['Twisted Sister'],I Wanna Rock,70
1984,['Bon Jovi'],Runaway,70
1984,['Soda Stereo'],Trátame Suavemente - Remasterizado 2007,70
1985,['Mr. Mister'],Broken Wings,70
1986,"['Run–D.M.C.', 'Aerosmith']",Walk This Way (feat. Aerosmith),70
1986,"['Bruce Hornsby', 'The Range']",The Way It Is,70
1986,['TOTO'],I'll Be Over You,70
1986,['Madonna'],La Isla Bonita,70
1987,['Mötley Crüe'],"Girls, Girls, Girls",70
1987,['Michael Jackson'],Bad - 2012 Remaster,70
1988,['N.W.A.'],Straight Outta Compton,70
1988,['N.W.A.'],Fuck Tha Police,70
1988,['Danzig'],Mother,70
1989,"[""The B-52's""]",Love Shack,70
1989,['Faith No More'],Epic,70
1989,['Michael Bolton'],How Am I Supposed to Live Without You,70
1990,['Donny Hathaway'],This Christmas,70
1990,['Maná'],Rayando El Sol,70
1990,['Scorpions'],Send Me An Angel,70
1990,['Luis Miguel'],Tengo Todo Excepto a Ti,70
1991,['Pearl Jam'],Yellow Ledbetter,70
1991,['Lenny Kravitz'],It Ain't Over 'Til It's Over,70
1991,['Crowded House'],Weather With You,70
1992,['Soul Asylum'],Runaway Train,70
1992,['Nat King Cole'],L-O-V-E,70
1992,['Annie Lennox'],Walking on Broken Glass,70
1992,['Eric Clapton'],"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",70
1993,"[""Israel Kamakawiwo'ole""]",Somewhere Over The Rainbow_What A Wonderful World,70
1993,['Snoop Dogg'],Who Am I (What's My Name)?,70
1993,['Ace of Base'],The Sign,70
1993,['Mariah Carey'],Without You,70
1994,['David Lee Murphy'],Dust On The Bottle,70
1994,['Beck'],Loser,70
1994,['Hootie & The Blowfish'],Only Wanna Be with You,70
1994,['Alice In Chains'],Nutshell,70
1994,"['Ice Cube', 'Das EFX']",Check Yo Self - Remix,70
1994,['Selena'],Amor Prohibido,70
1994,['Caifanes'],Afuera,70
1994,['The Cranberries'],Ode To My Family,70
1995,['Green Day'],Brain Stew,70
1995,['Mariah Carey'],Fantasy,70
1995,['Los Acosta'],Como Una Novela,70
1995,['Alanis Morissette'],Ironic - 2015 Remaster,70
1996,['Los Ángeles Azules'],Cómo Te Voy A Olvidar,70
1996,['Chaka Khan'],Ain't Nobody,70
1996,['Rod Stewart'],All for Love,70
1997,['K-Ci & JoJo'],All My Life,70
1997,['Foo Fighters'],My Hero,70
1997,['Grupo Cañaveral De Humberto Pabón'],Tiene Espinas El Rosal,70
1997,['Rayito Colombiano'],Muchachita Consentida,70
1998,['Barenaked Ladies'],One Week,70
1998,['The Goo Goo Dolls'],Slide,70
1998,['System Of A Down'],Sugar,70
1998,['Lenny Kravitz'],Fly Away,70
1998,['Massive Attack'],Teardrop,70
1998,['Shakira'],Inevitable,70
1999,"[""Destiny's Child""]","Jumpin', Jumpin'",70
1999,['Rage Against The Machine'],Guerrilla Radio,70
1999,['blink-182'],Adam's Song,70
1999,['DMX'],Party Up,70
1999,['Jennifer Lopez'],Let's Get Loud,70
1999,['Savage Garden'],I Knew I Loved You,70
1999,['Dido'],Thank You,70
2000,['Travis Tritt'],It's A Great Day To Be Alive,70
2000,['Nelly'],Country Grammar (Hot Shit),70
2000,['Five For Fighting'],Superman (It's Not Easy),70
2000,['*NSYNC'],This I Promise You,70
2001,['Gorillaz'],Clint Eastwood,70
2001,['Saliva'],Click Click Boom,70
2001,['Puddle Of Mudd'],She Hates Me,70
2001,['Usher'],U Got It Bad,70
2001,['Busta Rhymes'],Break Ya Neck,70
2001,['Creed'],My Sacrifice,70
2001,"['Gary Jules', 'Michael Andrews']",Mad World (Feat. Michael Andrews),70
2002,['Missy Elliott'],Work It,70
2002,['Good Charlotte'],Lifestyles of the Rich & Famous,70
2002,['Nirvana'],About A Girl,70
2002,['Avril Lavigne'],I'm with You,70
2002,['Ricardo Arjona'],El Problema,70
2003,['blink-182'],I Miss You,70
2003,['R. Kelly'],Ignition - Remix,70
2003,['Nickelback'],Someday,70
2003,['Los Bukis'],Tu Cárcel,70
2003,['Linkin Park'],Faint,70
2003,['Evanescence'],Going Under,70
2004,['Modest Mouse'],Float On,70
2004,['Keane'],Somewhere Only We Know,70
2004,['Nick Cave & The Bad Seeds'],O Children,70
2004,['Marc Anthony'],Tu Amor Me Hace Bien - Salsa Version,70
2004,"['Bill Medley', 'Jennifer Warnes']","(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",70
2004,"['JAY-Z', 'Linkin Park']",Numb / Encore,70
2004,['Ana Bárbara'],Lo Busqué,70
2004,['Muse'],Hysteria,70
2004,['The Bangles'],Eternal Flame,70
2005,['The All-American Rejects'],Dirty Little Secret,70
2005,['Mariah Carey'],We Belong Together,70
2005,['Weezer'],Beverly Hills,70
2005,['The Fray'],Over My Head (Cable Car),70
2005,['Bright Eyes'],First Day Of My Life,70
2005,['Dropkick Murphys'],I'm Shipping Up To Boston,70
2005,['Gorillaz'],Dirty Harry,70
2005,['Audioslave'],Be Yourself,70
2005,['KT Tunstall'],Suddenly I See,70
2005,['Coldplay'],Speed of Sound,70
2005,"['Wisin & Yandel', 'Romeo Santos']",Noche De Sexo,70
2006,"['Akon', 'Eminem']",Smack That,70
2006,['Three Days Grace'],Riot,70
2006,['Fantasia'],When I See U,70
2006,['AFI'],Miss Murder,70
2006,['The Raconteurs'],"Steady, As She Goes",70
2006,['Rihanna'],SOS,70
2006,['My Chemical Romance'],I Don't Love You,70
2006,"['La Factoria', 'Eddy Lover']",Perdóname,70
2006,['Camila'],Todo Cambió,70
2006,['The Strokes'],You Only Live Once,70
2006,['Chris Isaak'],Wicked Game,70
2006,['Jamiroquai'],Virtual Insanity - Remastered,70
2007,['OneRepublic'],Apologize,70
2007,"['Lloyd', 'Lil Wayne']",You,70
2007,['Kanye West'],Good Morning,70
2007,['Leona Lewis'],Better in Time,70
2007,['Avril Lavigne'],When You're Gone,70
2008,"['Jeezy', 'Kanye West']",Put On,70
2008,['Lil Wayne'],A Milli,70
2008,['Mother Mother'],Body,70
2008,['Britney Spears'],Circus,70
2008,['Vanilla Ice'],Ice Ice Baby,70
2008,['David Archuleta'],Crush,70
2008,['Slipknot'],Psychosocial,70
2008,['Slipknot'],Psychosocial,70
2008,['The Script'],The Man Who Can't Be Moved,70
2009,['Florence + The Machine'],Dog Days Are Over,70
2009,['Mumford & Sons'],Little Lion Man,70
2009,['Brooks & Dunn'],Neon Moon,70
2009,['Edward Sharpe & The Magnetic Zeros'],Home - 2019 - Remaster,70
2009,['Shakira'],She Wolf,70
2009,"['Drake', 'Kanye West', 'Lil Wayne', 'Eminem']",Forever,70
2009,['Eminem'],Beautiful,70
2009,['Pitbull'],Hotel Room Service,70
2009,['Slipknot'],Wait and Bleed,70
2009,['Foo Fighters'],Everlong - Acoustic Version,70
2009,['Pearl Jam'],Just Breathe,70
2009,['Glee Cast'],Bust Your Windows,70
2010,['Mac Miller'],Knock Knock,70
2010,"['Mandy Moore', 'Zachary Levi']","I See the Light - From ""Tangled"" / Soundtrack Version",70
2010,['Eminem'],Cinderella Man,70
2010,"['Eminem', 'Lil Wayne']",No Love,70
2010,['My Chemical Romance'],Na Na Na (Na Na Na Na Na Na Na Na Na),70
2010,['Eminem'],Space Bound,70
2010,['Kavinsky'],Nightcall,70
2010,"['Diddy - Dirty Money', 'Skylar Grey']",Coming Home,70
2010,['Plan B'],Si No Le Contesto,70
2010,['Radical Face'],Welcome Home,70
2010,['Arcade Fire'],The Suburbs,70
2011,['Hunter Hayes'],Wanted,70
2011,"['Lil Wayne', 'Cory Gunz']",6 Foot 7 Foot,70
2011,['Jake Owen'],Barefoot Blue Jean Night,70
2011,"['Wale', 'Miguel']",Lotus Flower Bomb (feat. Miguel),70
2011,['Luke Bryan'],Country Girl (Shake It For Me),70
2011,['Bon Iver'],Holocene,70
2011,"['Drake', 'The Weeknd']",Crew Love,70
2011,"['JAY-Z', 'Kanye West', 'Frank Ocean', 'The-Dream']",No Church In The Wild,70
2011,['Ben Howard'],Old Pine,70
2011,['Banda El Recodo'],La Mejor De Todas,70
2011,['Chris Brown'],Yeah 3x,70
2011,['Olly Murs'],Dance with Me Tonight,70
2012,"['Kendrick Lamar', 'Drake']",Poetic Justice,70
2012,['Lee Brice'],Hard To Love,70
2012,['MKTO'],Wasted,70
2012,"['The Living Tombstone', 'Eurobeat Brony']",Discord,70
2012,['Tame Impala'],Elephant,70
2012,['Of Monsters and Men'],Dirty Paws,70
2012,"['Justin Bieber', 'Big Sean']",As Long As You Love Me,70
2013,"['Drake', 'Majid Jordan']","Hold On, We're Going Home",70
2013,['Luke Bryan'],That's My Kind Of Night,70
2013,['Current Joys'],Blondie,70
2013,['Mitski'],Strawberry Blond,70
2013,['Anarbor'],18,70
2013,"['Kristen Bell', 'Agatha Lee Monn', 'Katie Lopez']","Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",70
2013,['Twenty One Pilots'],House of Gold,70
2013,['Kikuo'],愛して 愛して 愛して,70
2013,['Avril Lavigne'],Here's to Never Growing Up,70
2013,['Unknown Mortal Orchestra'],So Good At Being in Trouble,70
2013,['The Neighbourhood'],Wires,70
2013,['Banda Los Recoditos'],Mi Último Deseo,70
2013,"['Mike WiLL Made-It', 'Miley Cyrus', 'Wiz Khalifa', 'Juicy J']",23,70
2013,['Banda Tierra Sagrada'],La Buena y la Mala,70
2014,"['Disclosure', 'Sam Smith']",Latch,70
2014,['Taylor Swift'],Shake It Off,70
2014,['Cherub'],Doses & Mimosas,70
2014,['Colt Ford'],Workin' on,70
2014,['TV Girl'],Lovers Rock,70
2014,['J. Cole'],Love Yourz,70
2014,['The Walters'],I Love You So,70
2014,"['Idina Menzel', 'Michael Bublé']",Baby It's Cold Outside (duet with Michael Bublé),70
2014,"['Kid Ink', 'Chris Brown']",Show Me (feat. Chris Brown),70
2014,['Lana Del Rey'],Brooklyn Baby,70
2015,['Beach House'],Space Song,70
2015,['Colter Wall'],Sleeping on the Blacktop,70
2015,['Kodak Black'],Already,70
2015,['Chris Stapleton'],Parachute,70
2015,['Sia'],Chandelier,70
2015,['Phillipa Soo'],Burn,70
2015,"['Anthony Ramos', 'Okieriete Onaodowan', 'Daveed Diggs', 'Lin-Manuel Miranda', 'Leslie Odom Jr.']",The Story of Tonight - Reprise,70
2015,"['Daveed Diggs', 'Leslie Odom Jr.', 'Okieriete Onaodowan', 'Original Broadway Cast of Hamilton']",What'd I Miss,70
2015,"['Christopher Jackson', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",History Has Its Eyes on You,70
2015,"['Anthony Ramos', 'Lin-Manuel Miranda', 'Jon Rua', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",Ten Duel Commandments,70
2015,['KYLE'],Don't Wanna Fall In Love,70
2015,['The Oh Hellos'],"Soldier, Poet, King",70
2015,['Surf Curse'],Freaks,70
2015,['Leon Bridges'],River,70
2015,['Melanie Martinez'],Pity Party,70
2016,['Jon Bellion'],All Time Low,70
2016,['Kevin Gates'],Really Really,70
2016,"['Saba', 'Jean Deaux']",Photosynthesis,70
2016,['Glass Animals'],The Other Side Of Paradise,70
2016,['Panic! At The Disco'],Don't Threaten Me with a Good Time,70
2016,['Russ'],Ain't Nobody Takin My Baby,70
2016,['Drake'],Fire & Desire,70
2016,"['A$AP Mob', 'Juicy J']",Yamborghini High (feat. Juicy J),70
2016,['Post Malone'],Too Young,70
2016,['Jinsang'],Affection,70
2016,['Rihanna'],Sex With Me,70
2016,['Beyoncé'],Sorry,70
2016,['Desiigner'],Tiimmy Turner,70
2017,['AJR'],Weak,70
2017,['Cigarettes After Sex'],Apocalypse,70
2017,"['Tyler Childers', 'OurVinyl']",Nose on the Grindstone (OurVinyl Sessions),70
2017,['Tyler Childers'],Whitehouse Road,70
2017,['Russell Dickerson'],Every Little Thing,70
2017,['Russell Dickerson'],Yours,70
2017,['Russell Dickerson'],Blue Tacoma,70
2018,['Pink Sweat$'],Honesty,70
2018,['Dan + Shay'],All To Myself,70
2018,['Mitchell Tenpenny'],Drunk Me,70
2019,['AJR'],100 Bad Days,70
1945,"['Bing Crosby', 'The Andrews Sisters']",Mele Kalikimaka (Merry Christmas),69
1958,['Elvis Presley'],Hound Dog,69
1958,['Nina Simone'],My Baby Just Cares for Me - 2013 Remastered Version,69
1959,['Marty Robbins'],Big Iron,69
1959,['Bobby Darin'],Beyond the Sea,69
1960,['Ella Fitzgerald'],Sleigh Ride,69
1960,['Ella Fitzgerald'],Frosty The Snowman,69
1962,"['Bobby ""Boris"" Pickett', 'The Crypt-Kickers']",Monster Mash,69
1964,"['The Beach Boys', 'Mark Linett', 'Sweet', 'Larry Walsh']",Little Saint Nick - 1991 Remix,69
1964,['The Drifters'],Under the Boardwalk,69
1964,['Bob Dylan'],The Times They Are A-Changin',69
1964,['Otis Redding'],Stand by Me,69
1965,['Tom Jones'],It's Not Unusual,69
1966,['The Beatles'],Eleanor Rigby - Remastered 2009,69
1966,['Frank Sinatra'],Strangers In The Night,69
1966,['Nancy Sinatra'],These Boots Are Made For Walkin',69
1967,['Jefferson Airplane'],White Rabbit,69
1967,['The Beatles'],Lucy In The Sky With Diamonds - Remastered 2009,69
1967,['Frankie Valli'],Can't Take My Eyes off You,69
1968,['Johnny Cash'],"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",69
1968,['The Monkees'],Daydream Believer,69
1968,"['Big Brother & The Holding Company', 'Janis Joplin']",Piece of My Heart,69
1968,['The Mamas & The Papas'],Dream A Little Dream Of Me - With Introduction,69
1968,['Aretha Franklin'],(You Make Me Feel Like) A Natural Woman,69
1969,['Led Zeppelin'],Good Times Bad Times - 1993 Remaster,69
1969,['The Velvet Underground'],Pale Blue Eyes,69
1970,['Black Sabbath'],Paranoid - 2012 - Remaster,69
1970,['Mountain'],Mississippi Queen,69
1970,"['Crosby, Stills, Nash & Young']",Our House,69
1970,['Van Morrison'],Moondance - 2013 Remaster,69
1971,['Joni Mitchell'],A Case of You,69
1971,['Carole King'],It's Too Late,69
1971,['Carole King'],You've Got a Friend,69
1971,['Yusuf / Cat Stevens'],Morning Has Broken,69
1972,"[""The O'Jays""]",Love Train,69
1972,['Neil Young'],Old Man - 2009 Remaster,69
1972,['Nick Drake'],Pink Moon,69
1972,['Bread'],Everything I Own,69
1973,['The Charlie Daniels Band'],The Devil Went Down to Georgia,69
1973,['Pink Floyd'],Breathe (In the Air),69
1973,['Marvin Gaye'],Let's Get It On,69
1975,['Bad Company'],Feel like Makin' Love - 2015 Remaster,69
1975,['Ted Nugent'],Stranglehold,69
1975,['Rod Stewart'],I Don't Want to Talk About It - 2008 Remaster,69
1975,['Rod Stewart'],Sailing,69
1976,['Boston'],Peace of Mind,69
1976,['Wild Cherry'],Play That Funky Music,69
1976,['Electric Light Orchestra'],Livin' Thing,69
1976,['Boney M.'],Sunny,69
1977,['Queen'],We Will Rock You - Remastered,69
1977,['Glen Campbell'],Southern Nights,69
1978,['Joe Walsh'],Life's Been Good,69
1978,['Styx'],Renegade,69
1978,['Carpenters'],Sleigh Ride,69
1978,['Cheap Trick'],Surrender,69
1978,['Van Halen'],Ain't Talkin' 'Bout Love - 2015 Remaster,69
1978,['Billy Joel'],My Life,69
1978,['The Who'],Who Are You,69
1978,['KISS'],Detroit Rock City,69
1978,['Gerry Rafferty'],Baker Street,69
1978,"['John Travolta', 'Olivia Newton-John']",Summer Nights - From “Grease”,69
1978,['The Jacksons'],Blame It on the Boogie,69
1978,['Rod Stewart'],Da Ya Think I'm Sexy?,69
1979,['Joy Division'],Disorder - 2007 Remaster,69
1979,['Bette Midler'],The Rose,69
1980,['Alabama'],Song of the South,69
1980,['Bruce Springsteen'],Hungry Heart,69
1980,['Barbra Streisand'],Woman in Love,69
1981,['Foreigner'],Juke Box Hero,69
1981,['Kim Wilde'],Kids In America,69
1981,['Christopher Cross'],Arthur's Theme (Best That You Can Do),69
1983,['Violent Femmes'],Blister In The Sun,69
1984,['Bruce Springsteen'],Glory Days,69
1984,['The Cars'],Drive,69
1984,['Talk Talk'],It's My Life - 1997 Remaster,69
1984,['The Cars'],Drive - 2017 Remaster,69
1985,['Mötley Crüe'],Home Sweet Home,69
1985,"['The Highwaymen', 'Willie Nelson', 'Johnny Cash', 'Waylon Jennings', 'Kris Kristofferson']",Highwayman,69
1985,['Simply Red'],Holding Back the Years - 2008 Remaster,69
1985,['Phil Collins'],One More Night - 2016 Remaster,69
1985,['George Benson'],Nothing's Gonna Change My Love for You,69
1985,['Soda Stereo'],Cuando Pase El Temblor - Remasterizado 2007,69
1986,['Eddie Money'],Take Me Home Tonight,69
1986,['Beastie Boys'],Fight For Your Right,69
1986,['AC/DC'],You Shook Me All Night Long,69
1986,['Lionel Richie'],Dancing On The Ceiling,69
1986,['Modern Talking'],Brother Louie,69
1987,['Nitty Gritty Dirt Band'],Fishin' in the Dark,69
1987,['R.E.M.'],It's The End Of The World As We Know It (And I Feel Fine),69
1987,['Fleetwood Mac'],Seven Wonders - 2017 Remaster,69
1987,['New Order'],Blue Monday,69
1987,['Duncan Dhu'],En algún lugar,69
1988,['Joan Jett & The Blackhearts'],I Hate Myself for Loving You,69
1988,['Don McLean'],American Pie,69
1989,['Mötley Crüe'],Dr. Feelgood,69
1989,['Skid Row'],18 and Life,69
1989,['Pixies'],Here Comes Your Man,69
1989,"['Stan Getz', 'João Gilberto', 'Astrud Gilberto']",The Girl From Ipanema,69
1989,['Van Morrison'],Have I Told You Lately,69
1989,['Roy Orbison'],You Got It,69
1990,"['Elton John', 'Kiki Dee']",Don't Go Breaking My Heart,69
1990,['The Black Crowes'],Hard To Handle,69
1990,['Wilson Phillips'],Hold On,69
1990,['Caifanes'],La Célula Que Explota,69
1990,['Ricardo Montaner'],Tan enamorados,69
1991,['Metallica'],Nothing Else Matters,69
1991,['Ozzy Osbourne'],"Mama, I'm Coming Home",69
1991,['Michael Jackson'],Remember the Time,69
1991,"[""Guns N' Roses""]",Live And Let Die,69
1991,"[""Guns N' Roses""]",You Could Be Mine,69
1991,['Michael Bolton'],When a Man Loves a Woman,69
1991,['Luis Miguel'],No Sé Tú,69
1991,['Michael Jackson'],Heal the World,69
1992,['Alan Jackson'],Chattahoochee,69
1992,['Alice In Chains'],Rooster,69
1992,['SNAP!'],"Rhythm Is A Dancer - 7"" Edit",69
1993,"['2Pac', 'Digital Underground']",I Get Around,69
1993,['Nirvana'],All Apologies,69
1993,['Céline Dion'],The Power of Love,69
1993,['Luis Miguel'],Suave,69
1994,"['Jason Weaver', 'Rowan Atkinson', 'Laura Williams']","I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",69
1994,"['Nathan Lane', 'Ernie Sabella', 'Jason Weaver', 'Joseph Williams']","Hakuna Matata - From ""The Lion King""/Soundtrack",69
1994,['Mariah Carey'],O Holy Night,69
1994,['Nirvana'],Where Did You Sleep Last Night,69
1994,['Sade'],Smooth Operator - Single Version,69
1994,"['Big Mountain', 'Tom Lord-Alge']","Baby, I Love Your Way",69
1995,['George Strait'],Check Yes Or No,69
1995,['Shania Twain'],Any Man Of Mine,69
1995,['Deep Blue Something'],Breakfast At Tiffany's,69
1995,['Randy Newman'],"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",69
1995,['Tracy Chapman'],Give Me One Reason,69
1995,['Oasis'],Champagne Supernova,69
1995,['The Smashing Pumpkins'],"Tonight, Tonight - Remastered 2012",69
1995,['Mobb Deep'],Survival of the Fittest,69
1995,"['Mariah Carey', 'Boyz II Men']",One Sweet Day,69
1995,['Radiohead'],Fake Plastic Trees,69
1995,['Scatman John'],Scatman (ski-ba-bop-ba-dop-bop),69
1995,['Shakira'],Antologia,69
1995,['Pulp'],Common People,69
1996,"['Nas', 'Ms. Lauryn Hill']",If I Ruled the World (Imagine That) (feat. Lauryn Hill),69
1996,"['2Pac', ""Rappin' 4-Tay""]",Only God Can Judge Me (ft. Rappin' 4-Tay),69
